0.52,1.749,10.231
0.238,0.554,9.774
0.434,0.496,8.368
0.012,0.285,8.124
-0.593,-1.337,14.317
0.027,1.2,10.085
-0.43,-1.467,10.974
-0.02,1.27,8.778
-0.708,-1.881,10.325
0.125,1.339,7.812
0.345,0.467,9.693
0.063,0.405,10.136
0.319,0.432,10.002
-0.008,1.497,9.125
0.204,0.829,10.751
0.436,0.638,8.095
0.226,0.59,9.834
0.34,-0.628,10.971
0.096,-0.461,9.781
-0.001,0.139,12.308
0.556,0.968,10.09
-0.056,-0.633,10.519
0.027,0.685,8.562
-0.099,0.022,9.008
-0.195,0.036,9.829
0.23,1.428,10.981
-0.018,-0.264,8.893
0.041,2.623,9.539
0.657,1.002,7.669
-0.097,1.322,11.039
0.81,3.037,9.403
0.259,1.282,7.496
-0.128,0.113,7.209
-0.169,1.521,8.04
-0.763,-0.715,17.747
0.599,2.92,9.348
-0.224,-0.231,7.092
0.142,2.031,6.179
-0.039,0.412,11.35
0.479,2.127,11.312
-0.027,-1.266,12.241
0.87,2.144,6.481
-0.324,-0.779,13.086
0.367,1.059,8.483
-0.401,0.154,11.604
-0.073,0.834,12.741
0.42,1.497,8.121
0.168,1.646,6.44
-0.001,-0.159,9.915
0.348,2.336,8.744
0.099,1.291,13.386
0.733,0.762,10.921
0.669,2.752,4.462
0.111,0.908,8.55
-0.284,-0.394,13.149
0.501,1.265,8.936
-0.157,-1.004,9.678
-0.205,1.691,10.813
0.697,0.982,8.052
-0.145,0.774,7.951
-0.202,2.249,9.089
0.02,1.505,10.892
-0.178,1.471,11.934
0.74,2.067,4.553
-0.624,0.772,11.07
0.987,3.03,7.087
-0.336,1.258,9.537
-0.078,1.952,10.739
0.293,3.586,7.978
0.453,0.822,8.514
0.233,2.043,6.538
-0.353,0.187,12.519
0.791,3.042,9.927
0.415,0.23,8.464
0.58,2.817,7.171
0.111,0.29,10.469
-0.178,0.261,15.491
0.0,0.712,10.148
0.008,0.982,11.094
0.228,1.303,7.918
-0.557,0.511,9.563
0.415,1.876,5.882
-1.0,-0.243,11.182
0.314,1.993,10.701
0.072,0.738,10.581
-0.585,0.511,12.612
-0.526,-0.365,11.508
-0.219,1.32,7.733
-0.32,0.206,7.786
0.185,1.682,7.137
-0.169,1.236,10.32
-0.149,1.667,13.606
0.261,0.563,11.041
-0.343,0.178,9.484
-0.039,1.663,7.868
0.01,1.677,10.152
0.285,1.593,9.87
0.628,3.227,7.108
-0.502,-0.166,11.985
0.599,2.688,4.582
-2.42,-2.446,14.492
-0.446,0.537,11.659
-0.262,0.843,10.251
-1.062,-0.365,10.2
-0.492,0.489,7.808
-0.76,1.43,8.129
-0.854,-0.023,11.568
-0.264,2.295,9.63
-1.177,-2.659,12.682
0.463,3.648,8.184
-0.02,-0.176,10.176
0.135,1.586,7.242
-0.571,1.505,10.818
1.248,3.377,11.403
0.173,0.429,9.846
-0.058,2.891,10.845
0.266,0.403,7.903
0.158,1.03,7.626
-0.25,-0.387,9.297
-0.48,0.238,12.591
-0.571,1.069,11.563
-0.197,-0.578,9.245
0.161,-0.813,8.701
-0.952,-1.443,10.842
0.032,-0.07,8.1
0.077,1.052,11.805
0.499,0.733,12.555
0.604,0.812,8.339
0.41,1.785,6.215
0.367,-0.554,10.291
0.046,1.514,10.009
0.166,-0.054,11.597
0.647,0.843,8.445
-0.365,-1.639,7.959
-0.456,0.285,10.773
0.59,1.586,9.702
0.396,-0.25,15.211
0.755,1.373,8.502
0.027,1.715,5.034
-0.87,-0.152,8.67
-0.88,-1.095,9.321
-0.451,0.302,8.95
-0.923,-0.557,17.024
1.181,1.169,9.853
-0.959,0.499,10.447
-0.796,-1.46,10.55
0.76,1.495,6.34
-0.236,-2.343,8.636
-0.25,-2.101,12.816
