-0.54,0.338,9.422
-0.772,1.27,9.544
0.628,6.783,12.471
1.279,4.458,8.751
0.008,2.185,13.194
-0.238,4.194,9.63
1.042,2.767,6.141
0.954,3.749,11.747
0.396,2.7,8.742
0.194,4.884,11.187
-0.521,1.2,9.211
0.405,0.958,3.336
3.658,1.794,11.649
-2.343,-0.885,2.73
2.453,2.101,11.005
1.03,1.816,8.854
4.046,6.587,10.543
4.52,13.53,19.014
-2.444,3.787,12.409
1.224,2.831,5.659
1.39,3.262,5.674
0.202,2.067,7.125
0.98,4.115,7.3
0.681,4.604,10.119
0.599,5.334,15.651
-2.168,0.779,6.677
1.212,2.944,10.088
1.464,3.943,16.14
-1.091,4.448,11.46
1.061,-0.616,9.846
3.037,3.715,5.894
-2.834,1.55,8.569
0.008,5.279,6.593
0.458,3.974,14.523
2.649,7.48,11.177
-0.549,3.037,6.38
2.724,2.759,6.601
2.295,4.546,8.263
0.142,4.074,12.088
1.287,2.855,5.468
2.803,6.002,10.021
-0.197,3.413,16.657
1.806,1.821,12.25
1.121,2.719,11.204
-1.543,2.326,9.568
0.467,3.255,8.359
-0.252,1.797,7.678
-1.033,2.417,7.741
1.006,8.048,7.93
-0.921,0.341,9.779
4.987,6.024,13.314
0.005,1.701,16.681
-0.24,3.399,5.652
0.477,1.914,6.404
1.569,2.249,12.423
-0.221,4.841,12.571
0.216,2.18,7.082
-0.31,3.349,8.069
0.453,4.618,9.252
0.927,2.913,10.519
-1.323,2.142,4.538
-0.937,3.847,13.893
-0.418,5.097,9.209
-0.255,3.071,9.542
0.331,2.795,13.055
-1.433,1.485,10.969
-2.2,4.793,0.323
1.308,2.901,9.23
0.851,3.885,7.901
1.37,3.332,15.953
-1.112,-2.36,13.853
-3.208,0.52,9.235
3.485,5.258,10.967
0.245,3.761,9.484
1.196,5.919,8.047
0.518,3.921,10.663
-2.264,4.898,1.023
-0.509,2.599,11.75
0.058,2.712,10.037
-0.755,5.708,10.291
-0.65,3.056,8.423
-0.018,4.62,8.567
-0.514,3.998,11.11
-1.433,2.388,6.15
1.619,3.351,13.817
-0.542,1.39,10.32
0.111,2.728,5.216
-0.423,2.865,7.659
-0.14,3.004,12.78
0.017,3.428,18.815
-3.021,0.053,-3.141
-0.312,3.859,9.307
0.544,5.291,14.344
0.427,0.903,2.599
-1.014,2.668,9.604
0.661,4.228,9.472
0.86,3.646,8.507
0.863,6.821,8.732
0.384,6.699,8.871
1.006,4.52,8.646
0.058,3.82,6.792
0.52,2.997,8.514
1.976,4.676,13.278
0.829,5.698,10.976
-2.2,-3.735,4.869
0.079,0.982,-1.319
-0.849,1.866,12.741
2.654,7.578,6.124
0.417,1.825,15.831
-3.232,0.757,9.044
4.745,4.558,11.884
-2.121,4.374,5.07
-1.105,1.339,11.906
2.53,3.088,10.265
0.47,1.591,9.367
0.048,2.362,7.566
0.958,2.041,11.489
0.3,2.398,13.132
-1.201,1.995,5.207
-0.983,-1.893,11.953
3.217,1.545,10.658
0.942,1.037,9.961
-0.317,0.01,9.891
0.831,-0.446,8.315
-0.051,0.367,9.654
1.263,-0.976,11.836
-0.456,-1.369,11.901
1.452,0.697,10.586
1.758,4.838,14.016
-2.351,1.219,7.01
-1.136,-1.991,9.537
-0.902,-1.919,8.279
-0.456,-1.582,10.083
-0.355,0.817,10.224
0.719,0.144,13.01
